"user 2 alpha","user 2 beta","user 6 alpha","user 6 beta","user 7 alpha","user 7 beta","user 8 alpha","user 8 beta","user 9 alpha","user 9 beta","user 12 alpha","user 12 beta","user 13 alpha","user 13 beta","user 16 alpha","user 16 beta","user 17 alpha","user 17 beta","SumBeta","SumAlpha","Alpha waves, Tutorial, all users","Beta waves, Tutorial, all users","LearnersAlpha","LearnersBeta","NonLearnersAlpha","NonLearnersBeta","(NonLearnersBeta) / 4","(NonLearnersAlpha) / 4","(LearnersAlpha) / 5","(LearnersBeta) / 5","LearnersAB","NonLearnesAB"
0.467401,0.305368,0.313749,0.361325,0.326118,0.465042,0.260521,0.863794,0.264335,0.334926,0.392411,0.351702,0.288370,0.351702,0.334410,0.318737,0.343354,0.346626,3.699222,2.990670,0.332297,0.411025,1.743114,2.191304,1.247556,1.507918,0.376979,0.311889,0.348623,0.438261,0.795469,0.827337
0.468142,0.305580,0.311542,0.361801,0.325598,0.464849,0.260330,0.864168,0.264347,0.335844,0.391327,0.352675,0.286758,0.352675,0.335190,0.318334,0.344673,0.346659,3.702584,2.987907,0.331990,0.411398,1.741747,2.193432,1.246160,1.509152,0.377288,0.311540,0.348349,0.438686,0.794074,0.825735
0.468652,0.305813,0.309182,0.362405,0.325133,0.464674,0.260310,0.864277,0.431099,0.336622,0.390164,0.353641,0.284937,0.353641,0.335882,0.317855,0.346200,0.346788,3.705716,3.151557,0.350173,0.411746,1.739944,2.195226,1.411613,1.510490,0.377622,0.352903,0.347989,0.439045,0.792603,0.934540
0.468934,0.306002,0.306807,0.363020,0.324745,0.464523,0.260419,0.864227,0.430537,0.337097,0.388907,0.354642,0.282938,0.354642,0.336479,0.317346,0.347967,0.346997,3.708495,3.147735,0.349748,0.412055,1.737678,2.196858,1.410057,1.511636,0.377909,0.352514,0.347536,0.439372,0.790983,0.932802
0.469045,0.306147,0.304458,0.363491,0.324471,0.464397,0.260646,0.864111,0.429997,0.337242,0.387550,0.355713,0.280819,0.355713,0.336983,0.316904,0.350059,0.347311,3.711029,3.144027,0.349336,0.412337,1.735043,2.198587,1.408984,1.512442,0.378111,0.352246,0.347009,0.439717,0.789163,0.931595
0.469045,0.306266,0.302151,0.363697,0.324340,0.464300,0.261002,0.864124,0.429450,0.337111,0.386094,0.356855,0.278630,0.356855,0.337417,0.316589,0.352495,0.347737,3.713533,3.140623,0.348958,0.412615,1.732188,2.200689,1.408435,1.512844,0.378211,0.352109,0.346438,0.440138,0.787112,0.930985
0.468981,0.306369,0.299873,0.363613,0.324360,0.464232,0.261507,0.864528,0.428888,0.336749,0.384551,0.358051,0.276404,0.358051,0.337813,0.316402,0.354800,0.348164,3.716159,3.137177,0.348575,0.412907,1.729256,2.203402,1.407921,1.512757,0.378189,0.351980,0.345851,0.440680,0.784812,0.930698
0.468882,0.306459,0.297523,0.363307,0.324513,0.464192,0.262191,0.865694,0.428308,0.336165,0.382935,0.359325,0.274169,0.359325,0.338196,0.316343,0.356649,0.348662,3.719473,3.133367,0.348152,0.413275,1.726373,2.207146,1.406994,1.512328,0.378082,0.351748,0.345275,0.441429,0.782174,0.930350
0.468770,0.306534,0.294919,0.362875,0.324757,0.464181,0.263085,0.868211,0.427708,0.335347,0.381264,0.360725,0.271948,0.360725,0.338578,0.316425,0.358094,0.349272,3.724294,3.129123,0.347680,0.413810,1.723645,2.212620,1.405478,1.511675,0.377919,0.351369,0.344729,0.442524,0.779007,0.929749
0.468656,0.306595,0.291957,0.362391,0.325040,0.464193,0.264214,0.870157,0.427078,0.334324,0.379560,0.362232,0.269765,0.362232,0.338977,0.316640,0.359176,0.349708,3.728470,3.124422,0.347158,0.414274,1.721172,2.217855,1.403250,1.510615,0.377654,0.350813,0.344234,0.443571,0.776052,0.928926
0.468545,0.306641,0.288855,0.361903,0.325292,0.464225,0.265586,0.870711,0.426402,0.333248,0.377841,0.363922,0.267651,0.363922,0.339403,0.316958,0.359943,0.349879,3.731411,3.119518,0.346613,0.414601,1.719026,2.222156,1.400492,1.509255,0.377314,0.350123,0.343805,0.444431,0.773585,0.927936
0.468439,0.306675,0.285932,0.361442,0.325451,0.464270,0.267182,0.871042,0.425659,0.332271,0.376126,0.365884,0.265651,0.365884,0.339853,0.317333,0.360471,0.349908,3.734708,3.114764,0.346085,0.414968,1.717251,2.226817,1.397513,1.507891,0.376973,0.349378,0.343450,0.445363,0.771169,0.926800
0.468339,0.306698,0.283288,0.361014,0.325533,0.464322,0.268936,0.871296,0.424826,0.331405,0.374437,0.368036,0.263824,0.368036,0.340308,0.317702,0.360836,0.349881,3.738390,3.110327,0.345592,0.415377,1.715844,2.231768,1.394483,1.506622,0.376656,0.348621,0.343169,0.446354,0.768827,0.925569
0.468243,0.306710,0.280911,0.360611,0.325580,0.464375,0.270745,0.871564,0.423886,0.330628,0.372797,0.370045,0.262226,0.370045,0.340753,0.318000,0.361078,0.349815,3.741791,3.106218,0.345135,0.415755,1.714764,2.236364,1.391454,1.505427,0.376357,0.347864,0.342953,0.447273,0.766764,0.924292
0.468152,0.306714,0.278759,0.360209,0.325611,0.464421,0.272502,0.871822,0.422827,0.329928,0.371229,0.371808,0.260917,0.371808,0.341174,0.318173,0.361197,0.349704,3.744586,3.102367,0.344707,0.416065,1.713973,2.240324,1.388394,1.504262,0.376065,0.347099,0.342795,0.448065,0.765056,0.922974
0.468065,0.306709,0.276796,0.359773,0.325606,0.464456,0.274142,0.872061,0.421648,0.329275,0.369744,0.373259,0.259959,0.373259,0.341565,0.318203,0.361174,0.349570,3.746564,3.098699,0.344300,0.416285,1.713475,2.243490,1.385224,1.503074,0.375768,0.346306,0.342695,0.448698,0.763754,0.921594
